Question,Category
"පොත් කියවන සැම දෙනා
නව දැනුමෙන් පිරි දෙනා
අලුත් අලුත් දේ තනා
ලොව බැබළෙයි තරු ලෙසිනා

මෙම කවියේ සමස්ත අදහස මූලික වශයෙන් පැවසෙන්නේ,
(1) පොත් කියවීමේ අගය පිළිබඳ ව ය.
(2) තරු ලොව බැබළීම පිළිබඳ ව ය.
(3) අලුත් අලුත් දේ නිර්මාණය පිළිබඳ ව ය.

9.කවියෙහි දැක්වෙන අදහස් අනුපිළිවෙළින් නිවැරදිව ඉදිරිපත් කරන කණ්ඩායම ඇති පිළිතුර තෝරන්න.
(1) අලුත් දැනුම ලබා ගැනීම → පොත් කියවීම → අලුත් අලුත් දේ නිර්මාණය කිරීම
(2) පොත් කියවීම → අලුත් අලුත් දේ නිර්මාණය කිරීම → අලුත් දැනුම ලබා ගැනීම
(3) පොත් කියවීම → අලුත් දැනුම ලබා ගැනීම → අලුත් අලුත් දේ නිර්මාණය කිරීම",Sinhala language comprehension
"අඳුරැ නෑති - එළියෙදි ඇති
මට ම හිතැති - මගේ ම සකි
මෙයින් කියැවෙන්නේ,
(1) සිතමිතුරු ගැන ය.
(2) සෙවනැල්ල ගැන ය.
(3) හිරු ගැන ය.",Sinhala language comprehension
"පහත දැක්වෙන ඡේදය කියවන්න.
වනය පුරා පැතිරී තිබූ නිහඬතාවය සිංහයෙකුගේ නාදයෙන් බිඳී යයි. මහ මොළොක් හැඟීම්වලින් තොර වූ බියකරු හඬක් වන මැදින් ඇසේ. දැඩි විමසිලිමත් බැල්මකින් යුතුව ඌ රූස්ස ගස් අතරින් එහා මෙහා ඇවිදිමින් සිටිනු පෙනේ. ගස්වලින් පිරුණු පරිසරය සිය ගොදුර වන මෘගයා ලද තැන සොයා ගැනීමට සිහින දකින සිංහයෙකු සිහිපත් කරයි.
ඡේදය ආශ්‍රයෙන් පහත පිළිතුරු සපයන්න.
(1) වනය වර්ණවත් කරන්නේ කවුරුන් ද? ",Sinhala language comprehension
"ගැලපෙන විරාම ලකුණු යොදන්න.
(1) ඔබ එන්නේ කොහි සිට ද
(2) අනේ අනේ ඔහොම දරුණු වැඩ කරන්න එපා හොඳ නැහැ",Sinhala grammar comprehension
"පහත සඳහන් වාක්‍ය දෙකෙහි වරහන් අතරින් නිවැරදි වචනය තෝරා ලියන්න.
(1) ගොවියා කමතේ ගස් සෙවණේ ඉඳ ගත්තා.
(2) ගුරුතුමා මට තෑග්ගක් දුන්නා.",Sinhala language comprehension
"නිවැරදි අක්ෂර වින්‍යාසය සහිත වචනය තෝරා වරහන් තුළින් ලියන්න.
(1) නර්තන දැරිය ම පාසල .......... (පැමිණියේ ය. / පැමිණියේ ය.)
(2) අපි ගල් අඟුරු බැලීමට සිට ......... තෙක් අපි පාරක් නැඟුණෙමු. (නොදුටුපොළ / නොදුටුපොළ)",Sinhala grammar comprehension - NO
‘කොටියා මරමි’ යන දෙමළ වචන සඳහා යෙදෙන සිංහල වචන ලියන්න.,Tamil language and grammar comprehension
"පහත සඳහන් වාක්‍යය දෙමළෙන් කියන ආකාරය සිංහලෙන් ලියන්න.
අත් ඉහළට ඔසවන්න.",Tamil language and grammar comprehension
" කුටුම්බවල සිටින හානිකර කෘමීන් විනාශ කර ගන්නා සතෙකි.
(1) එකැස්කුණා
(2) ගොළුබෙල්ලා
(3) ගෙඹිල්ලා
(4) සර්පය",Environment
"ශක්තිජනක කාණ්ඩයට අයත් වන ආහාරයකි.
(1) කිරි
(2) බිත්තර
(3) බෝංචි
(4) තෙල්",Environment
"ගොමඩියා මඟින් රෝග බීජ ශරීරගත වීමෙන් වැළඳෙන රෝගයකි.
(1) පාචනය
(2) මැලේරියාව
(3) සරම්ප
(4) වකුගඩු රෝගය",Environment
"කෘමි භක්ෂක කාණ්ඩයට අයත් වන සතුන් පමණක් ඇතුළත් පිළිතුර කුමක් ද?
(1) කිරිල්ලා, මොනරා, ගවයා
(2) කණාමැදිරියා, ගෙම්බා, අලියා
(3) ඉබ්බා, කොකියා, වළහා
(4) ගෙම්බා, හූනා, දිය මැස්සා",Environment
"ශ්‍රී ලංකාව දූපතක් ලෙස හඳුන්වනු ලබන්නේ,
(1) කුඩා රටක් බැවිනි.
(2) ඉන්දියාවට ආසන්න ව පිහිටි බැවිනි.
(3) ජලයෙන් වට වී ඇති බැවිනි.
(4) ගංගා ජලාශ මුහුදට ගලා යන බැවිනි.",Environment
"දියලුම සහ කිරිගල්පොත්ත යන ශ්‍රී ලංකාවේ පිහිටි,
(1) ගංගාවක් සහ වනාන්තරයකි.
(2) දිය ඇල්ලක් සහ කන්දකි.
(3) වැවක් සහ කන්දකි.
(4) දිය ඇල්ලක් සහ ගංගාවකි.",Environment
"අයිස් කැටයක් ජලයට දැමූ විට සිදු නොවන්නේ කුමක් ද?
(1) අයිස් කැටය ජලයේ දිය වීම.
(2) අයිස් කැටය ජලයේ පාවීම.
(3) ජලයෙහි වර්ණය වෙනස් වීම.
(4) ජලය සිසිල් වීම.",Environment
"කොළ පැහැති කුඩු ජලයට එකතු කළ විට ලැබෙන ද්‍රාවණයේ පාට කුමක් ද?
(1) රතු
(2) කහ
(3) දම්
(4) කොළ",Environment
"ශාකයක ප්‍රධාන වශයෙන් ආහාර නිෂ්පාදනය කරනු ලබන්නේ පහත සඳහන් කුමන කොටස තුළ ද?
(1) මල්
(2) ගෙඩි
(3) මුල්
(4) පත්‍ර",Environment
"වේලිමෙන් හා වැලි යොදා නැවත නැවත කළ හැකි ආහාරයක් වන්නේ
(1) දෙහි ය.
(2) මිරිස් ය.
(3) සියඹලා ය.
(4) ගොරකා ය.",Environment
"කෘමීන් භක්ෂක සත්වයෙකු හඳුනාගත හැකි ලක්ෂණයක් වන්නේ,
(1) ශාක ද්‍රව්‍ය පමණක් ආහාරයට ගැනීම.
(2) මස්තිෂ්කයෙන් පැවතුණු පෝෂණය කිරීම. 
(3) බිත්තරවලින් පැවතුණු බිහි වීම.
(4) ගොදුරු පමණක් දඩයම් කොට ලැබීම.
",Environment
"විල්බර්ගොවිට් සහ හිරොයනේ ට ඉටු කර ගන්නා කාර්යයන් වන්නේ පිළිවෙළින්
(1) බරක් රැගෙන යාම හා බෝතල් මූඩි ඉවත් කිරීම.
(2) ඇණ ගැසීම හා බෝතල් මූඩි ඉවත් කිරීම.
(3) ද්‍රව්‍ය කැපීම හා ඇණ ගැසීම.
(4) බරක් රැගෙන යාම හා ද්‍රව්‍ය කැපීම.",Environment
"වනාන්තර ආරක්ෂා වීම සඳහා සිදුවන ස්වාභාවික ක්‍රියාවක් වන්නේ කුමක් ද?
(1) බෝහෝ ගස් වැවී වනාන්තරය වැඩීම
(2) ගිනි මැළයෙන් සඳහා දර කප දෑම
(3) ඇති කුකුළන් විසින් ගොළුබෙල්ලන් ආහාරයට ගැනීම
(4) කොළොම්බි ඇට කලා සතුන්ගේ ආහාරයට ඉතිරි වීම",Environment
"ශාකයක තිබෙන පත්‍ර යොදා ගනිමින් කූඩු සාදා ගන්නා සතෙකි.
(1) ලේනා
(2) දිය මැස්සා
(3) කපුටා
(4) වඩු කුරුල්ලා",Environment
"සවන්දීමේ පමණක් තොරතුරු ලබා ගත හැකි සන්නිවේදන මාධ්‍ය දෙකක් වන්නේ
(1) රූපවාහිනිය සහ පුවත්පතයි.
(2) ගුවන් විදුලිය සහ ශබ්දවාහිනියයි.
(3) පුවත්පත සහ ශබ්දවාහිනියයි.
(4) ගුවන් විදුලිය සහ රූපවාහිනියයි.",Common knowledge and logic reasoning
"කුස්සියේ නාට්‍ය නොකරන උපකරණයකි.
(1) පිහිය
(2) හිරමණය
(3) දෑකැත්ත
(4) වංගෙඩිය",Common knowledge and logic reasoning
"යකඩවලින් ලබා ගන්නා ආහාරය කුමක් ද?
(1) බටර්
(2) එළකිරි
(3) යෝගට්
(4) මුරුංගා කොළ",Environment
"පසේ ඇති ද්‍රව්‍ය නිරීක්ෂණය සඳහා වඩාත් උචිත උපකරණය කුමක් ද?
(1) සිදුරු කැමරාව
(2) විශාලීකරණ වීදුරුව
(3) අත් කාචය
(4) දුරේක්ෂනය",Environment
