Question,Category
"
සුවඳ පාට මට නැති බව දන්නේ
සිටින තැනදි හැඩයයි මම ගන්නේ
මිහිපිට සැමදෙන සිට ලබන්නේ
දරණ වු‍ණොත් නැත සමාව දෙන්නේ
මෙම කවියේ අදහස වඩාත් හොදින් ගැලපිය හැක්කේ,
(1) සුළඟට ය.
(2) ආලෝකයට ය. 
(3) ජලයට ය.",Sinhala language comprehension
"වන විනාශය, ප්‍රධාන වශයෙන් ජල උල්පත් සිඳීයාමටත් පිරිසිදු වාතය නොලැබීමටත් පස සෝදායාමටත් හේතු වේ. 
එහි විපාකය වන්නේ අපගේ විනාශය අප විසින් ම ළඟා කර ගැනීම ය.""
ඉහත ප්‍රකාශයේ සමස්ත අදහස වන්නේ,
(1) වන සම්පතේ ඇති වැදගත්කම ය.
(2) වන සම්පත විනාශ වී ඇති බව ය.
(3) වනාන්තර ජල උල්පත් ඇති කිරීමට බලපාන බව ය.",Sinhala language comprehension
"ඔරලෝසු මුහුණතේ කැබලි තුනකට කැඩිණි. ඉන් එක් කැබැල්ලක 8, 9, 10, 11, 12 දක්නට ලැබිණි. 
තවත් කැබැල්ලක තිබූ ඉලක්කම්වල එකතුව 12 කි. ඉතිරි කැබැල්ලේ ඇති ඉලක්කම්වල එකතුව කීය ද?
(1) 12 
(2) 14 
(3) 16",Mathematics
"
ධාවන තරඟයක් නිමවීමට මොහොතකට පෙර අනිල් දෙවැනි ස්ථානයේ සිට නිමල්ට පසු කළේ ය. 
ඉන්පසු තරඟකරුවන්ගේ ස්ථානවල වෙනසක් සිදු නොවී ය. පහත ප්‍රකාශ සලකා බලන්න.
A - අනිල් පළමුවැනියා විය.
B - අනිල් දෙවැනියා විය.
C - නිමල් දෙවැනියා විය.
D - නිමල් තෙවැනියා විය.
මේවා අතුරෙන් සත්‍ය වන්නේ කුමන ප්‍රකාශ දෙක ද?
(1) A සහ C 
(2) A සහ D 
(3) B සහ D",Common knowledge and logic reasoning
"සමන් පිරිමි ළමයෙකි. ඔහුට සිටින සහෝදරයින් ගණනත් සහෝදරියන් ගණනත් සමාන ය. 
සමන්ගේ නංගී වන ගීතාට සිටින සහෝදරයින් ගණන, ඇයට සිටින සහෝදරියන් ගණනට,
(1) වඩා වැඩි ය. 
(2) වඩා අඩු ය. 
(3) සමාන ය.",Mathematics
"අනිල්, නිමල් සහ සුනිල් යන තිදෙනා අතුරෙන් දෙදෙනෙක් නිමල්ට වඩා වැඩිමහල් ය. 
දෙදෙනෙක් සුනිල්ට වඩා බාල ය. ඒ අනුව, වයස වැඩිවන අනුපිළිවෙළින් ඔවුන් තිදෙනා,
(1) අනිල්, නිමල්, සුනිල් ය. 
(2) නිමල්, අනිල්, සුනිල් ය. 
(3) නිමල්, සුනිල්, අනිල් ය.

",Common knowledge and logic reasoning
"පන්ති කාමරයක සිටි ගැහැනු ළමයින් සංඛ්‍යාව, එහි සිටි පිරිමි ළමයින් සංඛ්‍යාව මෙන් දෙගුණයකි. 
එම පන්ති කාමරයේ සිටි ගැහැනු ළමයින් සංඛ්‍යාවෙන් පිරිමි ළමයින් සංඛ්‍යාවක් එකතුවුව විය හැක්කේ,
(1) 25 කි. 
(2) 26 කි. 
(3) 27 කි.",Mathematics
"සත්ත්වාරයක් චාං... චාං... චාං... ලෙස ඒකාකාරව දිගට ම නාද වේ. සත්ත්වා හඬ එකදිගට තුන්වරක් නාදවන හඬ ඇසීමට ගතවන අඩුම කාලය තත්පර 6 කි. 
එසේ එකදිගට හත්වරක් නාදවන හඬ ඇසීමට ගතවන අඩුම කාලය කොපමණ ද?
(1) තත්පර 14 
(2) තත්පර 18 
(3) තත්පර 21",Mathematics
"අඹ ගසක කුරුල්ලෝ හතර දෙනෙක් ද පේර ගසක කුරුල්ලෝ දෙදෙනෙක් ද සිටිති. අඹ ගසේ 
සිටි කුරුල්ලෝ දෙදෙනෙක් පේර ගසට ඉගිල ගිය අතර පේර ගසේ සිටි එක් කුරුල්ලෙක් අඹ ගසට ඉගිල ආවේ ය. 
දැන් අඹ ගසේ සිටින කුරුල්ලන් ගණන පේර ගසේ සිටින කුරුල්ලන් ගණනට
(1) සමාන ය. 
(2) වඩා අඩු ය. 
(3) වඩා වැඩි ය.",Mathematics
"තරගයක් ජයග්‍රහණය කළ කණ්ඩායමක සිටි සාමාජිකයින් ගණන 5 කි. විනිශ්චයකරුවකු ඔවුන් සියලුදෙනාට ම අතට අත දුන්නේ ය. 
ඔවුහු සියලුදෙනා ද එකිනෙකාට අතට අත දී සතුටු වූහ. මෙහිදී සිදු වූ අතට අත දීම් වාර ගණන කීය ද?
(1) 9 
(2) 10 
(3) 15",Mathematics
"වෙළෙන්දෙක් පෑන්සල් තුනක් රුපියල් පහත බැගින් මිලදී ගෙන පෑන්සල් දෙකක් රුපියල් පහත බැගින් විකුණුවේ ය. 
එක් දිනක් ඔහු පෑන්සල් විකිණීමෙන් රුපියල් 500 ක ලාභයක් ලැබී තිබිණි නම් එදින, ඔහු විකුණූ පෑන්සල් ගණන කීය ද?
(1) 25 
(2) 50 
(3) 60",Mathematics
"2022 වර්ෂය සඳහා එක්තරා දින දර්ශනයක් සකසා ඇත්තේ එක් එක් මාසයට එක් පිටුවක් බැගින් වන සේ ය. 
එම සෑම පිටුවකම ඊට අයත් මාසයට අමතරව ඊට පෙර මාසය සහ පසු මාසය ද කුඩාවට මුද්‍රණය කර ඇත. 
මෙම දින දර්ශනයේ පිටු 12 අතුරෙන් කීයක, 2022 වර්ෂයට අයත් මාස පමණක් මුද්‍රණය කර තිබේ ද?
(1) 10 
(2) 11 
(3) 12",Mathematics
"රතු, නිල් හා කොළ පාටින් යුතු පෑන්සල් තුනක දිග පිළිබඳ ප්‍රකාශ දෙකක් පහත දැක්වේ.
රතු පෑන්සලේ දිග නිල් පෑන්සලේ දිග මෙන් දෙගුණයකට වඩා වැඩි ය.
කොළ පෑන්සලේ දිග නිල් පෑන්සලේ දිග මෙන් දෙගුණයකට වඩා කොළ පෑන්සලේ දිග රතු පෑන්සලේ දිග මෙන් තුන් ගුණයකට වැඩි ය.
ඒ අනුව, දිග අඩුම පෑන්සලේ සිට දිග වැඩිම පෑන්සල දක්වා පෑන්සල් තුන පිළිවෙලින් දැක්වෙන්නේ කුමක් ද?
(1) නිල්, රතු, කොළ 
(2) රතු, නිල්, කොළ 
(3) නිල්, කොළ, රතු
",Mathematics
"පහත දැක්වෙන්නේ ඡේදය කියවන්න.
අපේ පාසලේ ගුරුවරුන්, සිසුන්, දෙමව්පියන් සහ ආදි සිසුන්ගේ සහභාගිත්වයෙන් පැවති ප්‍රථම දානමය 
පින්කම උදෑසන දානය පැවැත්වීමේ මූලික අරමුණ වූයේ පාසල් වත්ත පිරිසිදු කිරීම, මල් පැළ තැබීම, පාසල් වත්තේ දිය 
උල්පත සකස් කිරීම සහ තොරතුරු පුවරුවක් තැබීම ය. කුණු කසළ බැහැර කිරීම වැනි කටයුතු එහිදී සිදු කරන ලද අතර, 
පොතු කැබලි යොදා කොම්පෝස්ට් මළු සෑදීම සඳහාත් සහභාගි වූයේ සිසුන් විසිනි. විදුහල්පතිතුමා විසින් සහභාගි වූ 
සැමට ස්තුතිය පළ කරමින් වැඩසටහන නිමා කරන ලදී. මෙසේ පාසල දැන් කෙතරම් ලස්සන ද කියා ඔබ සිතනු ඇත.
ඡේදය ඇසුරෙන් පිළිතුරු සපයන්න.
(1) ප්‍රථම දානමය වූයේ කුමක් ද?
(2) ප්‍රථම දානය පැවැත්වීමේ මූලික අරමුණ කුමක් ද?
(3) ප්‍රථම දානයේ දී සිදු කරන ලද ක්‍රියාකාරකම් ලියන්න.
(4) 'ඉවත් කිරීම' යන්නට සමාන අර්ථයක් දැක්වෙන ලෙස ඡේදයේ යොදා ඇති වචනය කුමක් ද?
(5) ඡේදයේ සඳහන් විශේෂණ පදයක් ලියන්න.
(6) පාසල පිළිබඳ ව ඔබගේ සිතෙහි ඇති හැඟීම කුමක් ද?",Sinhala language comprehension
"පහත සඳහන් වාක්‍යයේ වරහන් තුළ ඇති වචන නිවැරදි කරමින් නැවත ලියන්න.
රූපවාහිනිය ආකෂ්ඨ ව දර්ශන කාලයක් තැබීමෙන් රෝගාබාධවලට ගොදුරු විය හැකි ය.",Sinhala grammar comprehension - NO
"පහත සඳහන් වගන්ති ලියන ආකාරයට හරවා, වර්තමාන කාල ක්‍රියාපද යොදමින් නැවත ලියන්න.
(1) පිරුවට අඩි ගස ලෙස සිටියා ය.
(2) මම මල් වත්තට ගිහින් මල් කැඩුවා.",Sinhala language comprehension
"පහත දී ඇති වචන නිවැරදි ව යොදා අර්ථවත් වාක්‍යයක් බැගින් ලියන්න.
(1) කැලේ / යොමු / අඩවිය / කරුණු / මූලික / රචනාවට
(2) ලක්ෂණ / විය / ඔළුගෙඩි / සැලකිලිමත් / යුතු / රෝග / පිළිබඳ ව",Sinhala language comprehension
"ගැළපෙන විරාම ලකුණු යොදන්න.
ඉරුවාරදය අපේ ලංකාව නිසා කාසාවා කළා ය",Sinhala grammar comprehension
"පහත සඳහන් වාක්‍යය පුරුෂ ලිංග, ඒකවචන, අතීත කාල වාක්‍යයකට හරවා ලියන්න.
අම්මා උදෑසනින් ම රැකියාවට ගියා ය.",Sinhala grammar comprehension
"එක් එක් ඉංග්‍රීසි වචනය සඳහා යෙදෙන සිංහල වචනය ලියන්න.
(1) Vegetables :",English language and grammar comprehension
"පහත දී ඇති වචන නිවැරදි ව යොදා අර්ථවත් වාක්‍යයක් බැගින් ලියන්න.
(1) our / This / bus / is / school : ",English language and grammar comprehension
 'Sunday' යන ඉංග්‍රීසි වචනය සඳහා යෙදෙන සිංහල වචනය ලියන්න.,English language and grammar comprehension
"පහත සඳහන් වාක්‍යය දෙමළෙන් කියන ආකාරය සිංහලෙන් ලියන්න.
කිරි බොන්න : ",Tamil language and grammar comprehension
හය දහස් තිස් හත' සංඛ්‍යාව ඉලක්කමෙන් ලියන්න.,Mathematics
" පහත සංඛ්‍යාව ස්ථානීය අගය අනුව විහිදුවා ලියන්න.
8415=__________+__________+__________+__________",Mathematics
"සංඛ්‍යා රටාවේ හිස්තැන්වලට ආ යුතු සංඛ්‍යා ලියන්න.

______,______,11,14,17,20",Mathematics
"107, 5න් ගුණ කළ විට ලැබෙන පිළිතුර කුමක් ද?",Mathematics
නානකාමරයට අල්ලන උපකරණ ජල ප්‍රමාණය ලීටර් 2 කි. එහි මිලිලීටර් 750 ක ජල ප්‍රමාණයක් ඇති අතර එය සම්පූර්ණයෙන් පිරවීමට තව කොපමණ ජල ප්‍රමාණයක් අවශ්‍ය ද? : ,Mathematics
 රුපියල් 125 ක අත්පොතක් සහ රුපියල් 80 ක කොමඩි පොතක් මිල දී ගෙන රුපියල් 500 ක නෝට්ටුවකින් මුදල් ගෙවූ විට ලැබෙන ඉතුරු මුදල කීය ද? : රුපියල්,Mathematics
