Question,Category,
"පහත ඇති කවියෙහි හිස්තැන්න්වලට ගැළපෙන වචන පිළිවෙළින් ඇතුළත් පිළිතුර තෝරන්න.
රන්වන් අත්තටු දිළිසෙනවා
එහෙ මෙහෙ පාවෙනවා
මල්වල වහලා බොනවා
යැයි පවසනවා
(1) අහසේ මී මැස්සකු
(2) සුළගේ රොන් සරුංගලේ
(3 ) සුළගේ සමනළයකු",Sinhala language comprehension,112
" රුවන්ගේ මවගේ සහෝදරයාගේ දියණිය රුවිනි නම්, රූවන් යනු රුවිනිගේ.
 (1) පියාගේ සහෝදරියකගේ පුතා වේ.
(2 ) පියාගේසහෝදරයකුගේ පුතා වේ. 
(3) මවගේ සහෝදරයකුගේ පුතා වේ.",Common knowledge and logic reasoning,
" භාජනයක රතු බෝල 10 ක් ද කහ බෝල 8 ක් ද සුදු බෝල 6 ක් ද ඇත. වරකට රතු බෝල 2 ක් කපා බෝල 1 ක් සහ 
සුදු බෝල 1 ක් බැගින් ඉවතට ගනු ලැබේ. එසේ බෝල ඉවතට ගත හැකි වාර ගණන අවසන් වූ විට, භාජනයේ ඉතිරි වන
මුළු බෝල සංඛ්‍යාව කීය 
(1) 2 
(2) 4 
(3) 6",Mathematics,
"එකිනෙකට සෑම අතින් ම සමාන පරිගණක 6 ක් පාසල් දෙකක් අතර බෙදාදීමට අවශ්‍ය වේ. එක් එක් පාසලට ලැබිය 
හැකි පරිගණක ගණන විවිධ විය හැකිය. එක් එක් පාසලට එක් පරිගණකයක්වත් ලැබෙන පරිදි එම පරිගණක හයම 
බෙදා දිය හැකි වෙනස් ආකාර කීයක් තිබේ ද? 
(1) 5 
(2) 6 
(3) 7",Mathematics,
" අමර ඉපදුනේ එක්තරා වර්ෂයක ජනවාරි මාසයේ අවසාන ඉරිදා ය. සාමා ඉපදුනේ එම වර්ෂයේම පෙබරවාරි මාසයේ
 මුල්ම ඉරිදා ය.මෙම දින දෙකෙහි එකතුව 38 කි. අමරගේ උපන්දිනය ජනවාරි මාසයේ,
(1) 29 දින වේ. 
(2) 30 දින වේ. 
(3) 31 දින වේ.",Mathematics,
" නිමාලි නිමල්ට වඩා අවුරුදු දෙකහමාරක් බාල ය. නිමල් ඉපදුනේ 2005 වර්ෂයේදී ය.ය. නිමාලි ඉපදුනේ.
(1) නිසැකවම 2007 වර්ෂයේදී විය යුතුය.
(2) නිසැතවම 2008 වර්ෂයේදී විය යුතු ය.
(3) 2007 හෝ 2008 යන වර්ෂ දෙකින් එකක ය.",Common knowledge and logic reasoning,
" “කමල්ගේ එකම සහෝදරයා විමල් ය. අමාලි යනු කමල්ගේසහෝදරියකි. අමාලිගේ එකම සහෝදරිය
හිමාලි ය."" ඒ අනුව හිමාලිට සිටින සහෝදරයින් ගණනත් සහෝදරියන් ගණනත් පිළිවෙළින්,
(1) 2 සහ 2 වේ. 
(2) 1 සහ 2 වේ. 
(3) 2 සහ 1 වේ.",Common knowledge and logic reasoning,
" සමතලා බිමක ඇඳ ඇති සමචතුරස්‍රයක ශීර්ෂ වල A. B, C, D හතරදෙනා සිටගෙන සිටින්නේ A ට
උතුරින් B ද, B ට බටහිරින් C ද, C ට දකුණින් D ද වන පරිදි ය. A සිටින්නේ පිළිවෙළින් C ටත් D ටත්
කවර දිශාවලින් ද?
(1) ගිනිකොන, නැගෙනහිර 
(2) ගිනිකොන, බටහිර 
(3) වයඹ, නැගෙනහිර",Mathematics,
 හොඳින් හිරු පායා ඇති උදෑසනක ශිෂ්‍යයෙක් සමතලා බිමක ඇඳ ඇති වෘත්තාකාර ධාවන පථයක සම්පූර්ණ වට දෙකක් ඇවිදියි. එම ගමනේදී ශිෂ්‍යයාගේ සෙවනැල්ල ඔහුගේ වම අතපැත්තේ සිට දකුණඅත පැත්තට කී වරක් මාරුවෙයි ද?,Common knowledge and logic reasoning,
"20. පහත දී ඇති තොරතුරු සලකන්න.
සුදු පාට බල්බය ඇවේ නම් කහ පාට බබය දදැවේ. රතු පාට බල්බය දැල්වේ නම් සුදු පාට බල්බය නොදැවේ. • රතු පාට බල්බය නොදැල්වේ නම් නිල් පාට බබය දැවේ.
ඒ අනුව එකවර දැල්විය හැකි බල්බ තුත වන්නේ.
(1) සුදු, කහ සහ රතු. 
(2) සුදු, කහ සහ නිල්ය. 
(3) සුදු, රතු සහ නිල්ය.",Common knowledge and logic reasoning,
"වෘත්තාකාර ධාවන පථයක ඇතුළත සීමාවේ දිග මීටර 200 කි. මීටර 10න් 10 ට සලකුණු කිරීම සඳහා
මුලින්ම කහ පාට කොඩියක් ද, දෙවනුව දම් පාට කොඩියක් ද,තුන්වෙනුව සුදු පාට කොඩියක් ද ආදී වශයෙන් වන පරිදි මෙම පාට තුනෙන් කොඩි සිටුවන ලදී. මේ පිළිවෙළට සලකුණු කිරීම අවසන් වූ විට සමාන කොඩි ගණනක්ඇත්තේ කවර ඒවා ද?
(1) කහ පාට සහ දම් පාට 
(2) දම් පාට සහ සුදු පාට 
(3) සුදු පාට සහ කහ පාට",Mathematics,
