Question,Category
"අංක 01, 02 ආදි වශයෙන් 50 තෙක් අංක එක ලිවීමේදී 0 ඉලක්කම යෙදෙන වාර ගණන කීය ද?
(1) 7 
(2) 13 
(3) 14",Numbers
"පහත දී ඇති සංඛ්‍යාව අකුරෙන් ලියන්න.
7050 : ",Numbers
"පහත සංඛ්‍යා ආරෝහණ පිළිවෙළට ලියන්න.
8607, 6078, 8706",Numbers
"එක්තරා පාසලක ගැහැණු ළමයි 1046 දෙනෙක් ද පිරිමි ළමයි 938 දෙනෙක් ද සිටිති.
(1) පාසලේ සිටින මුළු ළමයින් සංඛ්‍යාව කීය ද?
(2) එම පාසලේ පිරිමි ළමයින්ට වඩා ගැහැණු ළමයින් කොපමණ සංඛ්‍යාවක් සිටිත් ද?",Subtraction
"පැය 24 ඔරලෝසුවේ 13 : 30 ලෙස පෙන්වන වේලාව, පැය 12 ඔරලෝසුවේ වේලාවෙන් කීය ද?",Time
"එක් ටැංකියක ජලය ලීටර් 10 මිලිලීටර් 500 ක් ද තවත් ටැංකියක ජලය ලීටර් 8 මිලිලීටර් 600 ක් ද ඇත. ටැංකි දෙකෙහි ඇති ජල ප්‍රමාණය අතර වෙනස කොපමණ ද?

",Volume measuring
"416, 4 න් බෙදූ විට පිළිතුර කුමක් ද?",Division
"මල්ලක හාල් 2 kg 350 g ක් තිබුණි. එයට තවත් හාල් 1 kg 750 g ක් දැමූ විට, දැන් මල්ලේ ඇති හාල්වල මුළු බර කොපමණ ද?",Weight measuring
A නගරයේ සිට B නගරයට දුර 5 km 750 m වේ. B නගරයේ සිට C නගරයට දුර 7 km 500 m වේ. A නගරයේ සිට B නගරය හරහා C නගරයට ඇති මුළු දුර කොපමණ ද?,Length measuring
"අංක 01, 02 ආදි වශයෙන් 50 තෙක් අංක ලිවීමේදී 0 ඉලක්කම යොදන වාර ගණන කීය ද?
(1) 7    
(2) 13   
(3) 14",Numbers
"පන්ති තුනක සිටින සිසු සංඛ්‍යා 36, 37 සහ 38 වේ. එක් එක් පන්තියක පිරිමි ළමයින් සංඛ්‍යාවට වඩා ගැහැණු ළමයින් දෙදෙනෙක් වැඩියෙන් සිටිති. එම පන්තියේ සිටින මුළු සිසුන් සංඛ්‍යාව කීය ද?
(1) 36    
(2) 37    
(3) 38",Addition
"රාජු ළඟ තිබූ මුදලට වඩා රුපියල් 25ක් වැඩියෙන් ආශා ළඟ තිබුණි. ආශා රුපියල් 15ක් රාජුට දුන් විට, රාජු ළඟ ඇති මුදල ආශා ළඟ ඇති මුදලට වඩා,
(1) රුපියල් පහක් වැඩිය.
(2) රුපියල් දහයක් වැඩිය.
(3) රුපියල් දහයක් අඩුය.",Addition
" භාජනයක රතු බෝල 10 ක් ද කහ බෝල 8 ක් ද සුදු බෝල 6 ක් ද ඇත. වරකට රතු බෝල 2 ක් කපා බෝල 1 ක් සහ 
සුදු බෝල 1 ක් බැගින් ඉවතට ගනු ලැබේ. එසේ බෝල ඉවතට ගත හැකි වාර ගණන අවසන් වූ විට, භාජනයේ ඉතිරි වන
මුළු බෝල සංඛ්‍යාව කීය 
(1) 2 
(2) 4 
(3) 6",Division
"එකිනෙකට සෑම අතින් ම සමාන පරිගණක 6 ක් පාසල් දෙකක් අතර බෙදාදීමට අවශ්‍ය වේ. එක් එක් පාසලට ලැබිය 
හැකි පරිගණක ගණන විවිධ විය හැකිය. එක් එක් පාසලට එක් පරිගණකයක්වත් ලැබෙන පරිදි එම පරිගණක හයම 
බෙදා දිය හැකි වෙනස් ආකාර කීයක් තිබේ ද? 
(1) 5 
(2) 6 
(3) 7",Division
" අමර ඉපදුනේ එක්තරා වර්ෂයක ජනවාරි මාසයේ අවසාන ඉරිදා ය. සාමා ඉපදුනේ එම වර්ෂයේම පෙබරවාරි මාසයේ
 මුල්ම ඉරිදා ය.මෙම දින දෙකෙහි එකතුව 38 කි. අමරගේ උපන්දිනය ජනවාරි මාසයේ,
(1) 29 දින වේ. 
(2) 30 දින වේ. 
(3) 31 දින වේ.",Addition
